rds_index,hourbin,ewt,count,daybin,date,rbt,speed
M4_1_0,4,1.31,112,1,10-30-2015,null,null
M4_2_0,1,1.73,3554,1,10-30-2015,null,null
M4_2_0,2,3.04,4241,1,10-30-2015,null,null
M4_2_0,3,3.06,1090,1,10-30-2015,null,null
M4_2_0,4,2.38,398,1,10-30-2015,null,null
M4_0_0,0,2.02,3209,2,10-31-2015,139.15,11.93
M4_1_0,0,1.6,3549,2,10-31-2015,162.7,5.96
M4_2_0,0,1.79,6758,2,10-31-2015,150.93,8.0925
M4_0_0,1,2.37,207,2,10-31-2015,null,null
M4_0_0,2,1.94,1468,2,10-31-2015,null,null
M4_0_0,3,1.17,1062,2,10-31-2015,null,null
M4_0_0,4,3.43,472,2,10-31-2015,null,null
M4_1_0,1,0.28,407,2,10-31-2015,null,null
M4_1_0,2,1.54,2079,2,10-31-2015,null,null
M4_1_0,3,2.57,832,2,10-31-2015,null,null
M4_1_0,4,1.56,231,2,10-31-2015,null,null
M4_2_0,1,0.91,614,2,10-31-2015,null,null
M4_2_0,2,1.7,3547,2,10-31-2015,null,null
M4_2_0,3,1.86,1894,2,10-31-2015,null,null
M4_2_0,4,2.8,703,2,10-31-2015,null,null
M4_1_0,0,1.62,3,1,11-02-2015,0.0,null
M4_2_0,0,1.62,3,1,11-02-2015,0.0,null
M4_1_0,1,1.62,3,1,11-02-2015,null,null
M4_2_0,1,1.62,3,1,11-02-2015,null,null
M4_1_0,0,3.63,2,1,11-04-2015,0.0,null
M4_2_0,0,3.63,2,1,11-04-2015,0.0,null
M4_1_0,1,3.63,2,1,11-04-2015,null,null
M4_2_0,1,3.63,2,1,11-04-2015,null,null
M4_1_0,0,3.86,3,1,11-09-2015,0.0,null
M4_2_0,0,3.86,3,1,11-09-2015,0.0,null
M4_1_0,1,3.86,3,1,11-09-2015,null,null
M4_2_0,1,3.86,3,1,11-09-2015,null,null
M4_1_0,0,2.55,2,1,11-10-2015,0.0,null
