rds_index,hourbin,ewt,count,daybin,date,rbt,speed
BX39_1_0,0,1.85,2072,2,10-11-2015,69.05,6.935
BX39_2_0,0,1.76,4245,2,10-11-2015,72.13,7.225
BX39_0_0,1,1.72,355,2,10-11-2015,null,null
BX39_0_0,2,2.34,1004,2,10-11-2015,null,null
BX39_0_0,3,0.94,578,2,10-11-2015,null,null
BX39_0_0,4,0.44,236,2,10-11-2015,null,null
BX39_1_0,1,1.28,515,2,10-11-2015,null,null
BX39_1_0,2,2.21,945,2,10-11-2015,null,null
BX39_1_0,3,1.59,397,2,10-11-2015,null,null
BX39_1_0,4,2.22,215,2,10-11-2015,null,null
BX39_2_0,1,1.45,870,2,10-11-2015,null,null
BX39_2_0,2,2.28,1949,2,10-11-2015,null,null
BX39_2_0,3,1.21,975,2,10-11-2015,null,null
BX39_2_0,4,1.39,451,2,10-11-2015,null,null
BX39_0_0,0,1.58,3030,1,10-12-2015,71.31,7.575
BX39_1_0,0,1.4,2758,1,10-12-2015,73.99,6.515
BX39_2_0,0,1.49,5788,1,10-12-2015,72.65,7.1225
BX39_0_0,1,0.61,909,1,10-12-2015,null,null
BX39_0_0,2,1.49,1233,1,10-12-2015,null,null
BX39_0_0,3,2.9,628,1,10-12-2015,null,null
BX39_0_0,4,2.14,260,1,10-12-2015,null,null
BX39_1_0,1,0.78,693,1,10-12-2015,null,null
BX39_1_0,2,1.98,1162,1,10-12-2015,null,null
BX39_1_0,3,1.0,596,1,10-12-2015,null,null
BX39_1_0,4,1.17,307,1,10-12-2015,null,null
BX39_2_0,1,0.69,1602,1,10-12-2015,null,null
BX39_2_0,2,1.74,2395,1,10-12-2015,null,null
BX39_2_0,3,1.96,1224,1,10-12-2015,null,null
BX39_2_0,4,1.58,567,1,10-12-2015,null,null
BX39_0_0,0,1.38,3576,1,10-13-2015,77.62,7.1675
BX39_1_0,0,1.95,3170,1,10-13-2015,87.05,6.4775
BX39_2_0,0,1.66,6746,1,10-13-2015,82.34,6.8875
BX39_0_0,1,1.21,1198,1,10-13-2015,null,null
BX39_0_0,2,1.38,1218,1,10-13-2015,null,null
BX39_0_0,3,1.84,747,1,10-13-2015,null,null
BX39_0_0,4,1.02,413,1,10-13-2015,null,null
